year,flights,total_passengers,all_aboard,passengers,crew,fatalities,passenger_fatalities,crew_fatalities,ground,num_accidents,ratio_passengers,ratio_fligts,dif_ratio
1970,57192900,1861543452,2576.0,2208.0,368.0,1920.0,1570.0,283.0,9.0,73,1.0314021936674085,1.2763822082810978,-0.24498001461368935
1971,57492000,1991897624,2434.0,2134.0,300.0,1772.0,1563.0,232.0,2.0,58,0.8896039528585732,1.0088360119668824,-0.11923205910830925
1972,48265300,1830207940,3455.0,2971.0,484.0,2667.0,2433.0,423.0,65.0,77,1.4572114685503987,1.5953490395791594,-0.13813757102876068
1973,59114800,2403325100,3379.0,2942.0,437.0,2252.0,2040.0,339.0,24.0,64,0.9370351102312375,1.0826392037188657,-0.14560409348762815
1974,64818500,2871103800,2878.0,2592.0,286.0,2242.0,2213.0,221.0,0.0,58,0.7808843414160087,0.894806266729406,-0.11392192531339729
1975,65489300,2985818000,2167.0,1934.0,233.0,1460.0,1280.0,180.0,9.0,51,0.48897822975144495,0.7787531703652353,-0.28977494061379033
1976,68056000,3275280876,2202.0,1885.0,317.0,1842.0,1545.0,274.0,144.0,57,0.5623945150773079,0.837545550722934,-0.27515103564562615
1977,69969700,3564133252,2655.0,2314.0,341.0,2098.0,1776.0,276.0,12.0,63,0.5886424136422832,0.9003897401303707,-0.31174732648808745
1978,71855500,3992219124,2594.0,2324.0,270.0,1389.0,1254.0,198.0,32.0,51,0.3479267938099282,0.7097577777623146,-0.36183098395238644
1979,75525600,4494005800,2363.0,2010.0,353.0,1792.0,1582.0,290.0,43.0,60,0.39875337944601674,0.7944326162254918,-0.39567923677947503
1980,76463500,4500137328,2482.0,2234.0,248.0,1717.0,1391.0,178.0,1.0,45,0.3815439118528162,0.5885160893759768,-0.20697217752316055
1981,74023100,4532267500,1465.0,1249.0,216.0,1158.0,987.0,182.0,62.0,50,0.25550124744402225,0.6754648211166514,-0.41996357367262915
1982,75034200,4641330948,3374.0,3008.0,366.0,1628.0,1462.0,248.0,25.0,54,0.3507614557633566,0.7196718296456815,-0.36891037388232495
1983,78430300,4847886676,2257.0,1998.0,259.0,1564.0,1426.0,180.0,31.0,48,0.3226148019801608,0.612008369214449,-0.2893935672342882
1984,83083900,5168054328,1279.0,1114.0,165.0,921.0,682.0,113.0,72.0,48,0.17821020088935874,0.5777292592186933,-0.3995190583293346
1985,86163700,5505028924,3365.0,3070.0,295.0,2590.0,2285.0,223.0,1.0,56,0.47047890860454994,0.6499256647520939,-0.17944675614754396
1986,90925100,5896052476,2509.0,2149.0,360.0,1345.0,1211.0,235.0,55.0,51,0.22811872951858037,0.5609012252942257,-0.33278249577564534
1987,95016700,6322228124,1847.0,1584.0,263.0,1629.0,1406.0,231.0,60.0,54,0.25766232537799516,0.5683211477561313,-0.31065882237813613
1988,99240000,6668815472,2674.0,2394.0,280.0,1945.0,1599.0,216.0,18.0,64,0.29165599320694474,0.6449012494961709,-0.35324525628922615
1989,100167600,6849630300,3433.0,3088.0,345.0,2206.0,1774.0,225.0,84.0,83,0.322061177520778,0.8286112475491076,-0.5065500700283296
1990,104027400,7152531996,2094.0,1844.0,250.0,1125.0,908.0,176.0,80.0,61,0.15728695804914228,0.5863839719150916,-0.42909701386594934
1991,102678100,8397941824,2444.0,2010.0,434.0,1719.0,1454.0,217.0,6.0,69,0.20469301121941186,0.6720030853706876,-0.4673100741512758
1992,110519800,8603249552,2732.0,2410.0,322.0,1999.0,1631.0,265.0,52.0,66,0.2323540643471503,0.5971780622114771,-0.36482399786432673
1993,122294200,8478128096,2216.0,1987.0,229.0,1508.0,1241.0,154.0,0.0,56,0.1778694521862058,0.4579121495541081,-0.28004269736790227
1994,130656400,9130523624,2884.0,2564.0,320.0,1806.0,1454.0,232.0,1.0,74,0.197798075375748,0.5663710311932673,-0.36857295581751925
1995,135843400,9653876516,1926.0,1689.0,237.0,1491.0,1288.0,191.0,0.0,60,0.15444572939470153,0.4416850579417182,-0.28723932854701667
1996,142697000,10267068624,2873.0,2514.0,359.0,2314.0,1926.0,288.0,286.0,68,0.22538078635131173,0.4765341948324071,-0.25115340848109535
1997,147880000,10740743652,2305.0,2053.0,252.0,1632.0,1312.0,194.0,45.0,56,0.1519447864018345,0.37868542061130644,-0.22674063420947194
1998,148861300,10816568980,1973.0,1683.0,290.0,1508.0,1270.0,237.0,47.0,59,0.13941574290223774,0.39634209831568046,-0.2569263554134427
1999,156376200,11457686800,2880.0,2577.0,303.0,863.0,666.0,197.0,28.0,62,0.07532061358144299,0.39647977121838235,-0.32115915763693936
2000,164128538,12258008929,2322.0,2056.0,266.0,1430.0,1217.0,192.0,23.0,63,0.11665842375240124,0.38384549553472536,-0.26718707178232415
