year,location_city,location_country,route,all_aboard,passengers,crew,fatalities,passenger_fatalities,crew_fatalities,ground
1970,Stockholm,Sweden,Stockholm - Zurich,10,7,3,5,5,0,0
1970,Near Villia Greece,,Military exercise,27,22,5,23,19,4,0
1970,Faleolo,Western Samoa,"Apia, Western Samoa - Pago Pago, American Samoa",32,29,3,32,29,3,0
1970,Mt. Pumacona,Peru,Trujillo - Juanjui,28,24,4,28,24,4,0
1970,Near Delhi,India,Kathmandu - Delhi,23,18,5,1,0,1,0
1970,Near Poza Rica,Mexico,Mexico City - Poza Rica,19,15,4,18,14,4,0
1970,Near Batagai,Russia,Chokurdakh - Batagay,34,28,6,34,28,6,0
1970,Cleveland,Ohio,Cleveland - Detroit,9,7,2,9,7,2,0
1970,Near Murmansk,Russia,Leningrad - Murmansk,11,32,6,11,8,3,0
1970,Apuseni mountains,Romania,Bucharest - Oradea,22,18,4,21,17,4,0
1970,Near Corrientes,Argentina,Corrientes - Rosario,37,33,4,37,33,4,0
1970,Near Samarkand,USSR,Tashkent - Samarkand,106,98,8,92,85,7,0
1970,Long Island Sound,Connecticut,"Groton, CT - New York, NY",5,3,2,5,3,2,0
1970,Puerto Infrida,Colombia,Villavicencio - Puerto Inírida,12,8,4,12,8,4,2
1970,Off Santo Domingo,Dominican Republic,Santo Domingo - San Juan,102,97,5,102,97,5,0
1970,Congo,,?,17,14,3,17,14,3,0
1970,Zurich,Switzerland,Zurich - Tel Aviv,47,38,9,47,38,9,0
1970,St. Moritz,Switzerland,Munchen - St. Moritz,11,9,2,11,9,2,0
1970,Belem Bay,Brazil,Reclife - Belem,40,35,5,38,34,4,0
1970,Near Da Nang,South Vietnam,Taiwan - Da Nang,31,0,31,23,0,23,0
1970,Colorado City,Arizona,Grand Canyon - Las Vegas,6,5,1,6,5,1,0
1970,Novosibirsk,Russia,Krasnoyarsk - Novosibirs,45,40,5,45,40,5,0
1970,Casablanca,Morocco,Agadir - Casablanca,82,76,6,61,56,5,0
1970,Zaporozhye,Ukraine,Rostov - Zaporozhye,35,30,5,7,6,1,0
1970,Manila,Philippines,Cuayan - Manila,36,32,4,36,32,4,0
1970,Rivolto,Italy,Rivolto - Grazzanise,19,12,7,17,10,7,0
1970,Kainatu,New Guinea,Mount Hagen - Goroka - Kainantu,11,9,2,8,6,2,0
1970,Near St. Croix,US Virgin Islands,New York City - St. Maarten,63,57,6,23,22,1,0
1970,Hamilton AFB,California,Hamilton - Spokane,14,0,14,13,0,13,0
1970,Mogadishu,Somalia,?,30,26,4,5,5,0,0
1970,Iligan,Philippines,Iligan - Manila,33,29,4,1,0,1,0
1970,Pellston,Michigan,Detroit - Pellston,6,4,2,6,4,2,0
1970,Kishiniev,Moldavia,Training,11,0,11,11,0,11,0
1970,Near Tegucigalpa,Honduras,?,6,4,2,6,4,2,0
1970,Chamblee,Georgia,"Chamblee, GA - Fort Myers,FL",33,29,4,1,1,0,5
1970,Tripoli,Libya,Prague - Tripoli,13,10,3,13,10,3,0
1970,Roxas,Philippines,Manila - Bacolod,44,40,4,1,1,0,0
1970,Near Huaricanga,Peru,Quito - Lima - Salta - Buenos Aires,8,5,3,5,3,2,0
1970,McGrath,Alakska,"McGrath AK - Galena, AK",27,25,2,5,4,1,0
1970,Near Arbucias,Gerona,Manchester - Barcelona,112,105,7,112,105,7,0
1970,Toronto,Canada,Montreal - Toronto - Los Angeles,109,100,9,109,100,9,0
1970,North Atlantic Ocean,,Reykjavik - Halifax - Sidney,23,15,8,23,15,8,0
1970,Tokyo,Japan,Tokyo - Okinawa,4,0,4,4,0,4,0
1970,Near Las Vegas,Nevada,Nellis - North Island - Barbers Point,10,0,10,10,0,10,0
1970,Islamabad,Pakistan,Rawalpindi - Lahore,30,26,4,30,26,4,0
1970,Near Cuzco,Peru,Cuzco - Lima,100,91,9,99,91,8,2
1970,Taipei,Taiwan,Hwa-Lien,31,26,5,14,12,2,0
1970,Near Tam Ky,South Vietnam,?,32,?,?,30,?,?,0
1970,Near Silchar,India,Silchar - Gauhati,39,34,5,39,34,5,0
1970,Haringvreter,Netherlands,Sightseeing,10,9,1,3,2,1,0
1970,Lihovka,Ukraine,Rostov-on-Don - Vilnius,37,32,5,37,32,5,0
1970,Near Dnepropetrovsk,Ukraine,?,37,?,?,37,?,?,0
1970,Near Leningrad,USSR,"Frunze, Kyrgyzstan - Leninabad, Tajikistan",21,18,3,21,18,3,0
1970,New York,New York,"Jamaica, NY - Washington D.C.",11,0,11,11,0,11,0
1970,Near Vagar,Faeroe Islands,Reykjavik - Vágar,34,30,4,8,7,1,0
1970,Near Da Nang,Vietnam,Pleiku - Hue,38,34,4,4,1,3,0
1970,Mt. Trelease,near Silver Plume,"Wichita - Denver - Logan, Utah",40,37,3,32,30,2,0
