year_interval,flights,total_passengers,all_aboard,passengers,crew,fatalities,passenger_fatalities,crew_fatalities,ground,num_accidents,ratio_passengers,ratio_fligts,dif_ratio
1970-1974,286883500,10958077916,14722.0,12847.0,1875.0,10853.0,9819.0,1498.0,100.0,330,0.9904109172424687,1.1502927146385207,-0.15988179739605202
1975-1979,350896100,18311457052,11981.0,10467.0,1514.0,8581.0,7437.0,1218.0,240.0,282,0.46861371957633335,0.8036566949589922,-0.3350429753826588
1980-1984,387035000,23689676780,10857.0,9603.0,1254.0,6988.0,5948.0,901.0,191.0,245,0.29498080809188654,0.6330176857390158,-0.3380368776471293
1985-1989,471513100,31241755296,13828.0,12285.0,1543.0,9715.0,8275.0,1130.0,218.0,308,0.31096204127953875,0.6532162096874933,-0.34225416840795453
1990-1994,570175900,41762375092,12370.0,10815.0,1555.0,8157.0,6688.0,1044.0,139.0,326,0.19531935101944323,0.5717533834734159,-0.37643403245397267
1995-1999,731657900,52935944572,11957.0,10516.0,1441.0,7808.0,6462.0,1107.0,406.0,305,0.14749902099848375,0.4168614867686114,-0.2693624657701277
2000-2004,828375937,63282512869,8234.0,7058.0,1176.0,6078.0,4976.0,938.0,5857.0,284,0.09604549068052906,0.34283950959333576,-0.2467940189128067
2005-2009,976071533,82601826858,8004.0,7086.0,918.0,5096.0,4341.0,696.0,168.0,223,0.061693550782605376,0.22846686176227207,-0.1667733109796667
2010-2014,1276804468,117419379398,4977.0,4350.0,627.0,3780.0,3097.0,522.0,94.0,150,0.03219230095900494,0.11748079189835667,-0.08528849093935173
2015-2019,1514525475,157915624755,3615.0,3217.0,398.0,2667.0,2343.0,324.0,80.0,88,0.01688876578323233,0.05810400779161539,-0.04121524200838306
2020-2024,371460524,35289446883,930.0,850.0,80.0,533.0,422.0,61.0,4.0,15,0.015103665460304007,0.04038114155031989,-0.025277476090015884
